ApplStandard,Brand,Country Of Manufacturer,Eff50,Eff75,EffFL,Enclr,Frame,High_eff_compl,High_eff_load,kWatt,MEPS_Applic,MEPS_compl_load,MEPS_Why,Model No,Family Name,Mount_Code,N-Standard,N-TestMethod,NumPls,Sold_in,Submit_ID,SubmitStatus,Torque_FL,Voltage,Weight,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",90.5,91.5,91.7,"IP56,IP65,IP66",132 S (foot),Yes - 2005 High Efficiency Level,both,5.5,Yes - 2006 MEPS Level,both,,5.5kW-2 pole-D132S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92536,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",90.5,91.5,91.7,"IP56,IP65,IP66",132 S (foot),Yes - 2005 High Efficiency Level,both,7.5,Yes - 2006 MEPS Level,both,,7.5kW-2 pole-D132S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92537,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",92.0,93.0,93.2,"IP56,IP65,IP66",160 M (foot),Yes - 2005 High Efficiency Level,both,11.0,Yes - 2006 MEPS Level,both,,11kW-2 pole-D160M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92542,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",92.5,93.0,93.5,"IP56,IP65,IP66",160 M (foot),Yes - 2005 High Efficiency Level,both,15.0,Yes - 2006 MEPS Level,both,,15kW-2 pole-D160M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92543,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",93.0,93.5,93.8,"IP56,IP65,IP66",160 L (foot),Yes - 2005 High Efficiency Level,both,18.5,Yes - 2006 MEPS Level,both,,18.5kW-2 pole-D160L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92544,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",93.0,94.0,94.1,"IP56,IP65,IP66",180 M (foot),Yes - 2005 High Efficiency Level,both,22.0,Yes - 2006 MEPS Level,both,,22kW-2 pole-D180MA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92546,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",93.0,94.0,94.5,"IP56,IP65,IP66",200 L (foot),Yes - 2005 High Efficiency Level,both,30.0,Yes - 2006 MEPS Level,both,,30kW-2 pole-D200LA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92547,Approved,,"380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",93.5,94.5,94.9,"IP56,IP65,IP66",200 L (foot),Yes - 2005 High Efficiency Level,both,37.0,Yes - 2006 MEPS Level,both,,37kW-2 pole-D200LA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92548,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.5,95.0,95.6,"IP56,IP65,IP66",225 M (foot),Yes - 2005 High Efficiency Level,both,45.0,Yes - 2006 MEPS Level,both,,45kW-2 pole-D225MA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92549,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",95.0,95.0,95.8,"IP56,IP65,IP66",250 S (foot),Yes - 2005 High Efficiency Level,both,55.0,Yes - 2006 MEPS Level,both,,55kW-2 pole-D250SA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92550,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",95.0,95.5,95.5,"IP56,IP65,IP66",250 M (foot),Yes - 2005 High Efficiency Level,both,75.0,Yes - 2006 MEPS Level,both,,75kW-2 pole-D250MA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92551,Approved,,"380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",94.0,95.3,95.8,"IP56,IP65,IP66",280 M (foot),Yes - 2005 High Efficiency Level,100,110.0,Yes - 2006 MEPS Level,both,,110kW-2 pole-D280MA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92552,Approved,,"380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.0,95.0,95.5,"IP56,IP65,IP66",280 S (foot),Yes - 2005 High Efficiency Level,100,90.0,Yes - 2006 MEPS Level,both,,90kW-2 pole-D280SA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92553,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",94.3,95.6,96.1,"IP56,IP65,IP66",315 S (foot),Yes - 2005 High Efficiency Level,100,132.0,Yes - 2006 MEPS Level,both,,132kW-2 pole-D315SA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92554,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.5,95.6,96.1,"IP56,IP65,IP66",315 M (foot),Yes - 2005 High Efficiency Level,100,150.0,Yes - 2006 MEPS Level,both,,150kW-2 pole-D315MA-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,2,"Australia,New Zealand",92555,Approved,,"380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",79.0,82.0,84.5,"IP56,IP65,IP66",80 M (foot),Yes - 2005 High Efficiency Level,100,0.75,Yes - 2006 MEPS Level,100,,0.75kW-4 pole-D80-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92556,Approved,,"220,230,240,380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",85.5,86.5,86.0,"IP56,IP65,IP66",90 S (foot),Yes - 2005 High Efficiency Level,both,1.1,Yes - 2006 MEPS Level,both,,1.1kW-4 pole-D90S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92561,Approved,,"220,230,240,380,400,415",,2020-09-10,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",84.0,86.0,87.0,"IP56,IP65,IP66",90 L (foot),Yes - 2005 High Efficiency Level,100,1.5,Yes - 2006 MEPS Level,both,,1.5kW-4 pole-D90L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92563,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",86.0,88.0,88.2,"IP56,IP65,IP66",100 L (foot),Yes - 2005 High Efficiency Level,100,2.2,Yes - 2006 MEPS Level,both,,2.2kW-4 pole-D100L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92564,Approved,,"220,230,240,380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",85.5,87.5,89.1,"IP56,IP65,IP66",100 L (foot),Yes - 2005 High Efficiency Level,100,3.0,Yes - 2006 MEPS Level,both,,3kW-4 pole-D100L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92565,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",89.0,90.0,90.0,"IP56,IP65,IP66",112 M (foot),Yes - 2005 High Efficiency Level,both,4.0,Yes - 2006 MEPS Level,both,,4kW-4 pole-D112M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92590,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",90.5,90.5,91.0,"IP56,IP65,IP66",132 S (foot),Yes - 2005 High Efficiency Level,100,5.5,Yes - 2006 MEPS Level,both,,5.5kW-4 pole-D132S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92592,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",91.5,92.0,91.7,"IP56,IP65,IP66",132 M (foot),Yes - 2005 High Efficiency Level,both,7.5,Yes - 2006 MEPS Level,both,,7.5kW-4 pole-D132M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92593,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",92.0,92.5,92.9,"IP56,IP65,IP66",160 M (foot),Yes - 2005 High Efficiency Level,both,11.0,Yes - 2006 MEPS Level,both,,11kW-4 pole-D160M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92594,Approved,,"380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",92.5,93.0,93.0,"IP56,IP65,IP66",160 L (foot),Yes - 2005 High Efficiency Level,both,15.0,Yes - 2006 MEPS Level,both,,15kW-4 pole-D160L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92598,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",93.0,94.0,94.0,"IP56,IP65,IP66",180 M (foot),Yes - 2005 High Efficiency Level,both,18.5,Yes - 2006 MEPS Level,both,,18.5kW-4 pole-D180MC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92600,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",93.5,94.0,94.5,"IP56,IP65,IP66",180 L (foot),Yes - 2005 High Efficiency Level,both,22.0,Yes - 2006 MEPS Level,both,,22kW-4 pole-D180LC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92601,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.5,94.5,94.5,"IP56,IP65,IP66",200 L (foot),Yes - 2005 High Efficiency Level,both,30.0,Yes - 2006 MEPS Level,both,,30kW-4 pole-D200LC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92602,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",94.5,95.0,95.4,"IP56,IP65,IP66",225 S (foot),Yes - 2005 High Efficiency Level,both,37.0,Yes - 2006 MEPS Level,both,,37kW-4 pole-D225SC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92603,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",95.0,95.0,95.4,"IP56,IP65,IP66",225 M (foot),Yes - 2005 High Efficiency Level,both,45.0,Yes - 2006 MEPS Level,both,,45kW-4 pole-D225MC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92604,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",95.0,95.5,95.8,"IP56,IP65,IP66",250 S (foot),Yes - 2005 High Efficiency Level,both,55.0,Yes - 2006 MEPS Level,both,,55kW-4 pole-D250SC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92605,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",95.0,95.5,95.7,"IP56,IP65,IP66",250 M (foot),Yes - 2005 High Efficiency Level,both,75.0,Yes - 2006 MEPS Level,both,,75kW-4 pole-D250MC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92608,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.2,95.2,95.7,"IP56,IP65,IP66",280 S (foot),Yes - 2005 High Efficiency Level,100,90.0,Yes - 2006 MEPS Level,both,,90kW-4 pole-D280SC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92609,Approved,,"380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",94.4,95.5,96.0,"IP56,IP65,IP66",280 M (foot),Yes - 2005 High Efficiency Level,100,110.0,Yes - 2006 MEPS Level,both,,110kW-4 pole-D280MC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92610,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",94.8,95.6,96.1,"IP56,IP65,IP66",315 S (foot),Yes - 2005 High Efficiency Level,100,132.0,Yes - 2006 MEPS Level,both,,132kW-4 pole-D315SC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92611,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",94.8,95.8,96.3,"IP56,IP65,IP66",315 M (foot),Yes - 2005 High Efficiency Level,100,150.0,Yes - 2006 MEPS Level,both,,150kW-4 pole-D315MC-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,4,"Australia,New Zealand",92612,Approved,,"380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",79.5,80.0,80.5,"IP56,IP65,IP66",90 S (foot),Yes - 2005 High Efficiency Level,100,0.75,Yes - 2006 MEPS Level,both,,0.75kW-6 pole-D90S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92613,Approved,,"220,230,240,380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",79.5,81.5,82.5,"IP56,IP65,IP66",90 L (foot),Yes - 2005 High Efficiency Level,100,1.1,Yes - 2006 MEPS Level,both,,1.1kW-6 pole-D90L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92615,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",81.5,84.0,84.0,"IP56,IP65,IP66",100 L (foot),Yes - 2005 High Efficiency Level,both,1.5,Yes - 2006 MEPS Level,both,,1.5kW-6 pole-D100L-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92617,Approved,,"220,230,240,380,400,415",,2020-09-04,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",85.0,86.5,87.2,"IP56,IP65,IP66",112 M (foot),Yes - 2005 High Efficiency Level,both,2.2,Yes - 2006 MEPS Level,both,,2.2kW-6 pole-D112M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92618,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"China,Taiwan",86.0,87.5,88.8,"IP56,IP65,IP66",132 S (foot),Yes - 2005 High Efficiency Level,both,3.0,Yes - 2006 MEPS Level,both,,3kW-6 pole-D132S-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92619,Approved,,"220,230,240,380,400,415",,2020-09-09,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,TECO,"Taiwan,China",87.0,89.0,89.6,"IP56,IP65,IP66",132 M (foot),Yes - 2005 High Efficiency Level,both,4.0,Yes - 2006 MEPS Level,both,,4kW-6 pole-D132M-AEMB/AEMV,,"B3,B5,B6,B7,B8,B14,B34,B34,B35,V1,V3,V5,V6,V15,V18,V19,V36",AS 1359.102.1:1997,B,6,"Australia,New Zealand",92622,Approved,,"220,230,240,380,400,415",,2020-09-08,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",94.5,94.8,94.6,"IP55,IP56,IP65,IP66",280,No,,75.0,Yes - 2006 MEPS Level,both,,M3BP 280SMA 4G,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,4,"Australia,Fiji,New Zealand",92627,Approved,,"230,400,415,690,500",,2021-08-15,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",92.0,93.6,94.1,"IP55,IP56,IP65,IP66",280,No,,75.0,Yes - 2006 MEPS Level,100,,M3KP 280SMA 2G,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,2,"Australia,Fiji,New Zealand",92628,Approved,,"230,400,415,690,500",,2021-08-12,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",94.5,95.2,95.2,"IP55,IP56,IP65,IP66",280,Yes - 2005 High Efficiency Level,both,90.0,Yes - 2006 MEPS Level,both,,M3BP 280 SMB 2,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,2,"Australia,Fiji,New Zealand",92629,Approved,,"230,400,415,690,500",,2020-10-21,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",95.7,96.1,96.0,"IP55,IP56,IP65,IP66",280,Yes - 2005 High Efficiency Level,both,110.0,Yes - 2006 MEPS Level,both,,M3BP 280 SMC 2,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,2,"Australia,Fiji,New Zealand",92630,Approved,,"230,400,415,690,500",,2020-10-21,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",93.6,94.4,94.2,"IP55,IP56,IP65,IP66",315,No,,75.0,Yes - 2006 MEPS Level,both,,M3GP 315SMA 6G,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,6,"Australia,Fiji,New Zealand",92631,Approved,,"230,400,415,690,500",,2021-08-15,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,India,Poland,Finland",93.6,94.4,94.2,"IP55,IP56,IP65,IP66",315,No,,75.0,Yes - 2006 MEPS Level,both,,M3KP 315SMA 6G,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,6,"Australia,Fiji,New Zealand",92632,Approved,,"230,400,415,690,500",,2021-08-15,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Three Phase Electric Motors) Determination 2019,ABB,"China,Poland,Finland",93.6,94.4,94.2,"IP55,IP56,IP65,IP66",315,No,,75.0,Yes - 2006 MEPS Level,both,,M3JP 315SMA 6G,,"B3,B5,B8,B35,V1,V3,V5,V6",IEC 60034-2-1 (Edition 2.0),A,6,"Australia,Fiji,New Zealand",92633,Approved,,"230,400,415,690,500",,2021-08-15,,Single product class,Available,,
